,,,,,,,,,,,,,Solicitação de Obra,,Mapa de Cotação,,Pedido de compra,,Contrato de Cotação e Materiais,
ESTRUTURA DO ORÇAMENTO,RM,INSUMO,4,5,6,7,8,9,10,DATA PLANEJADA TAREFA,DATA DE NECESSIDADE INFORMADA,DATA DE INCLUSAO NO SISTEMA,,Nº COTAÇÃO SISTEMA,Data aprovação cotaçao,Nº PEDIDO SISTEMA,DATA APROVAÇÃO PEDIDO DE COMPRA,Nº CONTRATO SISTEMA,DATA APROVAÇÃO DO CONTRATO,
Soma de 1,,,,,,,,,Data de cronograma,DATA DO PLANEJAMENTO,Data de necessidade informada,data de inclusao,,Cotação,Data aprovação cotaçao,Pedido,Data aprovação pedido,Contrato,Data aprovação contrato,Emissão da nota (primeira)
01.01.02.02.002,12103,9528 -  09528-CAIXA DE DESCARGA ELEVADA 9L,3,,,,,,,,45904,45904.571805555599,02/09/2025,326,10/09/2025,438,15/09/2025,0,,
01.01.02.02.002,12110,"6573 -  06573-MANGUEIRA JARDIM 3/4""",1,,,,,,,,45930,45902.631828703699,02/09/2025,371,07/10/2025,475,10/10/2025,0,,
01.01.02.02.002,12113,7707 -  07707-TINTA ACRÍLICA FOSCA BRANCO,1,,,,,,,,45972,45902.640034722201,02/09/2025,310,04/09/2025,480,13/10/2025,0,,
01.01.02.02.002,12287,9069 -  09069-PLUG FÊMEA 20A,1,,,,,,,,45950,45908.424340277801,08/09/2025,339,17/09/2025,447,22/09/2025,0,,
01.01.02.02.002,12287,9070 -  09070-PLUG MACHO 20A,2,,,,,,,,45950,45908.424340277801,08/09/2025,339,17/09/2025,447,22/09/2025,0,,
01.01.02.02.002,14416,"2114 -  02114-ADAPTADOR SOLDÁVEL CURTO 25MMX3/4""",9,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.002,14416,2256 -  02256-JOELHO 90 SOLDÁVEL 25MM,8,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.002,14416,2389 -  02389-TE SOLDÁVEL 25MM,7,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,1429,8117 -  08117-MO MONTAGEM DE BARRACO DE OBRA INTERNO,70,,,,,,,,45747,45667.478703703702,10/01/2025,51,24/01/2025,0,,813,24/01/2025,
01.01.02.02.003,1815,7750 -  07750-TINTA SPRAY VERMELHO,3,,,,,,,,45701,45673.1245949074,16/01/2025,38,15/01/2025,18,16/01/2025,0,,
01.01.02.02.003,3069,8952 -  08952-SERVIÇOS DE DEDETIZAÇÃO,2,,,,,,,,45779,45691.615023148202,03/02/2025,137,14/03/2025,0,,1360,08/04/2025,
01.01.02.02.003,3069,9267 -  09267-SERVIÇO DE DESRATIZAÇÃO,1,,,,,,,,45779,45691.615023148202,03/02/2025,137,14/03/2025,0,,1360,08/04/2025,
01.01.02.02.003,3737,2256 -  02256-JOELHO 90 SOLDÁVEL 25MM,9,,,,,,,,45729,45701.628877314797,13/02/2025,114,17/02/2025,114,18/02/2025,0,,
01.01.02.02.003,3737,2300 -  02300-LUVA SOLDÁVEL 25MM,8,,,,,,,,45729,45701.628877314797,13/02/2025,114,17/02/2025,114,18/02/2025,0,,
01.01.02.02.003,3737,2336 -  02336-REGISTRO ESFERA SOLDÁVEL 40MM,11,,,,,,,,45729,45701.628877314797,13/02/2025,114,17/02/2025,114,18/02/2025,0,,
01.01.02.02.003,3737,6429 -  06429-CADEADO COM CHAVE,5,,,,,,,,45729,45701.628877314797,13/02/2025,114,17/02/2025,114,18/02/2025,0,,
01.01.02.02.003,3737,6829 -  06829-FILTRO DE LINHA,12,,,,,,,,45729,45701.628877314797,13/02/2025,114,17/02/2025,114,18/02/2025,0,,
01.01.02.02.003,3737,7642 -  07642-LIXA FERRO 120,10,,,,,,,,45729,45701.628877314797,13/02/2025,114,17/02/2025,114,18/02/2025,0,,
01.01.02.02.003,3737,9301 -  09301-SERVIÇOS DE CHAVEIRO,6,,,,,,,,45729,45701.628877314797,13/02/2025,114,17/02/2025,114,18/02/2025,0,,
01.01.02.02.003,7578,9769 -  09769-TOMADA INDUSTRIAL 63A 3 POLOS,19,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.02.003,7808,"3846 -  03846-MANGUEIRA LISA PRETA 3/4""",3,,,,,,,,45860,45804.550671296303,27/05/2025,217,03/06/2025,356,30/07/2025,0,,
01.01.02.02.003,7808,"4411 -  04411-CABO FLEXÍVEL 750V 2,5MM AZUL",1,,,,,,,,45860,45804.550671296303,27/05/2025,217,03/06/2025,356,30/07/2025,0,,
01.01.02.02.003,7808,"4415 -  04415-CABO FLEXÍVEL 750V 2,5MM PRETO",2,,,,,,,,45860,45804.550671296303,27/05/2025,217,03/06/2025,356,30/07/2025,0,,
01.01.02.02.003,7808,6258 -  06258-PARAFUSO COM BUCHA 6MM,7,,,,,,,,45860,45804.550671296303,27/05/2025,217,03/06/2025,356,30/07/2025,0,,
01.01.02.02.003,7808,8098 -  08098-LÂMPADA LED 50W,5,,,,,,,,45860,45804.550671296303,27/05/2025,217,03/06/2025,356,30/07/2025,0,,
01.01.02.02.003,7808,9486 -  09486-BOCAL PVC PENDENTE COM RABICHO E27,4,,,,,,,,45860,45804.550671296303,27/05/2025,217,03/06/2025,356,30/07/2025,0,,
01.01.02.02.003,9982,"4088 -  04088-CABO FLEXÍVEL PP 4X6,0MM",1,,,,,,,,45909,45853.415914351899,15/07/2025,255,22/07/2025,361,31/07/2025,0,,
01.01.02.02.003,12732,11060 -  11060-TOMADA DE SOBREPOR 3P 20A,11,,,,,,,,45979,45924.601666666698,18/09/2025,354,29/09/2025,478,10/10/2025,0,,
01.01.02.02.003,12732,"4411 -  04411-CABO FLEXÍVEL 750V 2,5MM AZUL",8,,,,,,,,45979,45924.601666666698,18/09/2025,354,29/09/2025,478,10/10/2025,0,,
01.01.02.02.003,12732,"4416 -  04416-CABO FLEXÍVEL 750V 2,5MM VERDE",10,,,,,,,,45979,45924.601666666698,18/09/2025,354,29/09/2025,478,10/10/2025,0,,
01.01.02.02.003,12732,"4417 -  04417-CABO FLEXÍVEL 750V 2,5MM VERMELHO",9,,,,,,,,45979,45924.601666666698,18/09/2025,354,29/09/2025,478,10/10/2025,0,,
01.01.02.02.003,12732,4804 -  04804-FITA ISOLANTE 19MMX20M,14,,,,,,,,45979,45924.601666666698,18/09/2025,354,29/09/2025,478,10/10/2025,0,,
01.01.02.02.003,12732,8088 -  08088-LÂMPADA BULBO LED,13,,,,,,,,45979,45924.601666666698,18/09/2025,354,29/09/2025,478,10/10/2025,0,,
01.01.02.02.003,12732,9486 -  09486-BOCAL PVC PENDENTE COM RABICHO E27,12,,,,,,,,45979,45924.601666666698,18/09/2025,354,29/09/2025,478,10/10/2025,0,,
01.01.02.02.003,13110,"607 -  00607-COMPENSADO RESINADO 14MM 1,10X2,20",1,,,,,,,,45930,45930.453159722201,30/09/2025,367,06/10/2025,482,14/10/2025,0,,
01.01.02.02.003,13110,"8945 -  08945-VIGOTE PINUS 3""X3""",2,,,,,,,,45930,45930.453159722201,30/09/2025,367,06/10/2025,482,14/10/2025,0,,
01.01.02.02.003,13295,11946 -  11946-ADAPTADOR SOLDÁVEL COM FLANGE 32MM,3,,,,,,,,45975,45936.465567129599,06/10/2025,377,13/10/2025,515,27/10/2025,0,,
01.01.02.02.003,13295,12038 -  12038-CAIXA DE ÁGUA 2000L,4,,,,,,,,45975,45936.465567129599,06/10/2025,377,13/10/2025,515,27/10/2025,0,,
01.01.02.02.003,13295,"12039 -  12039-ADAPTADOR SOLDÁVEL COM FLANGE 4""",2,,,,,,,,45975,45936.465567129599,06/10/2025,377,13/10/2025,515,27/10/2025,0,,
01.01.02.02.003,13868,6427 -  06427-CADEADO 50MM,4,,,,,,,,45995,45967.323379629597,21/10/2025,448,12/11/2025,548,13/11/2025,0,,
01.01.02.02.003,13868,6449 -  06449-CORRENTE 6MM,3,,,,,,,,45995,45967.323379629597,21/10/2025,448,12/11/2025,548,13/11/2025,0,,
01.01.02.02.003,14354,4804 -  04804-FITA ISOLANTE 19MMX20M,4,,,,,,,,46006,45964.656932870399,03/11/2025,431,10/11/2025,540,12/11/2025,0,,
01.01.02.02.003,14354,9069 -  09069-PLUG FÊMEA 20A,2,,,,,,,,46006,45964.656932870399,03/11/2025,431,10/11/2025,540,12/11/2025,0,,
01.01.02.02.003,14354,9070 -  09070-PLUG MACHO 20A,1,,,,,,,,46006,45964.656932870399,03/11/2025,431,10/11/2025,540,12/11/2025,0,,
01.01.02.02.003,14354,9711 -  09711-PLUG INDUSTRIAL 63A 4 POLOS,3,,,,,,,,46006,45964.656932870399,03/11/2025,431,10/11/2025,540,12/11/2025,0,,
01.01.02.02.003,14416,1291 -  01291-JOELHO 45 ESGOTO SN DN100,3,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,1353 -  01353-LUVA SIMPLES ESGOTO SN DN100,4,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,1377 -  01377-TE ESGOTO SN DN100,1,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,1381 -  01381-TE ESGOTO SN DN50,5,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,1394 -  01394-TE REDUÇÃO ESGOTO SN DN100X50,2,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,1406 -  01406-TUBO ESGOTO SN DN100X6M,6,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,"2264 -  02264-JOELHO 90 SOLDÁVEL BUCHA LATÃO 25MMX1/2""",14,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,5971 -  05971-BASE REGISTRO GAVETA PARA PVC 25MM,12,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,"5974 -  05974-BASE REGISTRO PRESSÃO 3/4""",13,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,5988 -  05988-CHUVEIRO ELÉTRICO 220V,11,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14416,9528 -  09528-CAIXA DE DESCARGA ELEVADA 9L,10,,,,,,,,46007,45965.632592592599,04/11/2025,476,27/11/2025,608,05/12/2025,0,,
01.01.02.02.003,14494,2459 -  02459-CAIXA DE GORDURA COM CESTO E TAMPA DN 300,1,,,,,,,,46034,45967.341076388897,06/11/2025,460,18/11/2025,568,25/11/2025,0,,
01.01.02.02.003,14597,6333 -  06333-DOBRADIÇA,1,,,,,,,,45971,45971.343831018501,10/11/2025,448,12/11/2025,548,13/11/2025,0,,
01.01.02.02.003,15360,2459 -  02459-CAIXA DE GORDURA COM CESTO E TAMPA DN 300,2,,,,,,,,46024,45995.324374999997,04/12/2025,500,10/12/2025,641,05/01/2026,0,,
01.01.02.02.003,15552,4041 -  04041-QUADRO DISTRIBUIÇÃO SOBREPOR 8 DISJUNTORES,6,,,,,,,,46001,46001.482997685198,10/12/2025,525,22/12/2025,649,05/01/2026,0,,
01.01.02.02.003,16168,"4375 -  04375-CABO FLEXÍVEL 750V 10,0MM PRETO",3,,,,,,,,46086,46031.311481481498,09/01/2026,546,12/01/2026,663,13/01/2026,0,,
