00650 - PIEMONTE P78 CARNEIRO LOBO SPE LTDA,,Requisição de Materiais e Serviços,Emissão:,46112,0.54106481481721858,Página: 1 / 1,,
1426,1426,45667,POTY R09 V00,1,01.03.05.02.003,"278 -  00278-AÇO CA-50 6,3 MM",45799,Baixada
,1426,,,,,,,
1429,1429,45667,POTY R09 V00,1,01.05.01.01.007,8496 -  08496-MO EXECUÇÃO DE ALVENARIA BLOCO CERAMICO VEDAÇÃO 19CM,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,2,01.05.01.01.005,8494 -  08494-MO EXECUÇÃO DE ALVENARIA BLOCO CERAMICO VEDAÇÃO 09CM,45754,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,3,01.05.01.01.006,8495 -  08495-MO EXECUÇÃO DE ALVENARIA BLOCO CERAMICO VEDAÇÃO 14CM,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,4,01.01.03.03.008,4996 -  04996-MO MONTAGEM DE BANDEIJÃO FIXO,45754,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,5,01.01.03.03.009,4997 -  04997-MO MONTAGEM DE BANDEIJÃO MÓVEL,45754,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,6,01.01.04.01.008,4843 -  04843-MO ALMOXARIFE,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,7,01.01.04.01.005,4845 -  04845-MO CONTRA-MESTRE,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,8,01.01.04.01.004,4854 -  04854-MO MESTRE,45761,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,9,01.01.02.06.005,4855 -  04855-MO OFICIAL,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,10,01.01.04.02.003,4856 -  04856-MO OPERADOR CREMALHEIRA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,11,01.01.04.02.001,4857 -  04857-MO OPERADOR DE GRUA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,12,01.01.04.02.005,4859 -  04859-MO SERVENTE,45761,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,13,01.01.05.01.001,4859 -  04859-MO SERVENTE,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,14,01.06.03.02.001,4868 -  04868-MO INSTALAÇÃO DE MANTA ACÚSTICA PARA PISO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,15,01.08.01.02.002,4873 -  04873-MO EXECUÇÃO DE ALVENARIA APARENTE BLOCO CONCRETO VEDAÇÃO (+FRISAGEM),45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,16,01.05.01.02.005,4879 -  04879-MO EXECUÇÃO DE ALVENARIA DE BLOCO DE CONCRETO 9CM,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,17,01.05.01.01.012,4887 -  04887-MO EXECUÇÃO DE ENCUNHAMENTO INTERNO DE ALVENARIAS,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,18,01.05.01.01.001,4890 -  04890-MO EXECUÇÃO DE MARCAÇÃO DE ALVENARIA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,19,01.05.01.02.001,4890 -  04890-MO EXECUÇÃO DE MARCAÇÃO DE ALVENARIA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,20,01.05.01.01.009,4892 -  04892-MO EXECUÇÃO DE VERGAS E CONTRA VERGAS PRE-MOLDADAS,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,21,01.07.02.02.001,4949 -  04949-MO EXECUÇÃO DE CHAPISCO INTERNO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,23,01.07.02.02.002,4950 -  04950-MO EXECUÇÃO DE EMBOÇO INTERNO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,25,01.07.02.01.003,"4956 -  04956-MO REGULARIZAÇÃO DE TETO, VIGAS E PILARES",45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,26,01.07.02.01.004,"4956 -  04956-MO REGULARIZAÇÃO DE TETO, VIGAS E PILARES",45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,27,01.04.01.09.001,4973 -  04973-MO REGULARIZAÇÃO E COMPACTAÇÃO DE SUB-LEITO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,29,01.07.05.05.001,5011 -  05011-MO ASSENTAMENTO DE LADRILHO HIDRÁULICO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,30,01.10.01.04.003,5012 -  05012-MO ASSENTAMENTO DE PASTILHA EM PAREDES INTERNAS,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,31,01.07.03.02.009,5016 -  05016-MO ASSENTAMENTO DE RODAPE EM PORCELANATO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,32,01.05.02.04.016,5021 -  05021-MO CHUMBAMENTO DE CAIXILHO DE PORTAS CORTA-FOGO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,33,01.05.02.02.007,5022 -  05022-MO CHUMBAMENTO DE CONTRAMARCOS DE ALUMINIO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,34,01.04.01.09.004,5063 -  05063-MO EXECUÇÃO DE JUNTA DE DILATAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,36,01.04.01.09.003,5065 -  05065-MO EXECUÇÃO DE PISO EM CONCRETO PARA SUBSOLO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,37,01.04.01.06.001,5068 -  05068-MO EXECUÇÃO PISO DESEMPENADO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,38,01.08.01.02.003,5105 -  05105-MO EXECUÇÃO DE DRENAGEM,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,40,01.08.03.01.001,5110 -  05110-MO EXECUÇÃO DE INSTALAÇÕES ELÉTRICAS,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,41,01.03.05.02.003,5148 -  05148-MO EXECUÇÃO DE ARMADURAS (MONTAGEM),45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,43,01.09.02.01.001,5152 -  05152-MO EXECUÇÃO DE ESTACAS E VIGA BALDRAME PARA MUROS EXTERNOS,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,44,01.04.01.01.002,5154 -  05154-MO EXECUÇÃO DE FORMA PARA ESTRUTURA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,45,01.03.05.02.002,5156 -  05156-MO EXECUÇÃO DE FORMA PARA FUNDAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,46,01.07.03.03.005,5174 -  05174-MO ASSENTAMENTO DE PASTILHA EM FACHADA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,47,01.07.03.03.001,5175 -  05175-MO ASSENTAMENTO DE PORCELANATO EM FACHADA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,49,01.07.02.03.002,5176 -  05176-MO EXECUÇÃO DE CHAPISCO EXTERNO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,51,01.07.02.03.004,5177 -  05177-MO EXECUÇÃO DE EMBOÇO EXTERNO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,53,01.07.05.04.005,5191 -  05191-MO INSTALAÇÃO DE PAREDES DE PVC,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,54,01.08.04.03.001,5348 -  05348-MO EXECUÇÃO DE INSTALAÇÕES HIDRÁULICAS,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,55,01.08.01.01.001,5358 -  05358-EXECUÇÃO DE PRUMADAS DE INSTALACOES HIDRAULICAS - AGUA FRIA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,56,01.08.01.01.001,5361 -  05361-EXECUÇÃO DE RAMAIS INSTALAÇÕES HIDRAULICAS - AGUA QUENTE - PAREDE/TETO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,57,01.08.01.01.001,5362 -  05362-EXECUÇÃO DE RAMAIS INSTALACOES HIDRAULICAS - ESGOTO/PLUVIAL - PAREDE,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,58,01.08.01.01.001,5375 -  05375-MO INSTALAÇÃO DE LOUÇAS,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,59,01.06.02.07.001,5388 -  05388-MO APLICAÇÃO DE IMPERMEABILIZAÇÃO COM MEMBRANA ACRÍLICA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,60,01.04.01.09.002,5454 -  05454-MO EXECUÇÃO DE BASE EM BRITA GRADUADA SIMPLES COMPACTADA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,61,01.07.02.04.001,5534 -  05534-MO EXECUÇÃO DE CONTRAPISO DESEMPENADO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,63,01.06.02.04.003,5540 -  05540-MO PROTEÇÃO MECÃNICA PARA IMPERMEABILIZAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,64,01.06.02.10.004,5540 -  05540-MO PROTEÇÃO MECÃNICA PARA IMPERMEABILIZAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,65,01.06.02.11.003,5540 -  05540-MO PROTEÇÃO MECÃNICA PARA IMPERMEABILIZAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,66,01.06.02.12.003,5540 -  05540-MO PROTEÇÃO MECÃNICA PARA IMPERMEABILIZAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,67,01.06.02.05.001,5543 -  05543-MO REGULARIZAÇÃO DE SUPERFICIE PARA IMPERMEABILIZAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,68,01.06.02.06.001,5543 -  05543-MO REGULARIZAÇÃO DE SUPERFICIE PARA IMPERMEABILIZAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,69,01.06.02.10.001,5543 -  05543-MO REGULARIZAÇÃO DE SUPERFICIE PARA IMPERMEABILIZAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,70,01.01.02.02.003,8117 -  08117-MO MONTAGEM DE BARRACO DE OBRA INTERNO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,71,01.01.04.01.009,8493 -  08493-MO AUXILIAR DE ALMOXARIFE,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,74,01.07.03.01.005,8511 -  08511-MO ASSENTAMENTO DE PORCELANATO TAMANHOS ATÉ 60CM,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,75,01.07.03.01.007,8512 -  08512-MO ASSENTAMENTO DE PORCELANATO TAMANHOS ACIMA DE 90CM,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,76,01.07.03.01.008,8512 -  08512-MO ASSENTAMENTO DE PORCELANATO TAMANHOS ACIMA DE 90CM,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,78,01.07.03.02.005,8514 -  08514-MO ASSENTAMENTO DE PISO CERAMICO TAMANHOS ACIMA DE 90CM,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,79,01.03.02.02.013,8517 -  08517-MO EXECUÇÃO DE FECHAMENTO COM PLACAS DE CONCRETO ENTRE ESTACAS,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,80,01.09.02.06.006,8549 -  08549-MO FORNECIMENTO E EXECUÇÃO DE INSTALAÇÕES DE GÁS,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,81,01.06.02.01.001,8563 -  08563-MO APLICAÇÃO DE EMULSÃO ASFALTICA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,82,01.07.05.05.015,8584 -  08584-MO COLOCAÇÃO DE RODAPÉ EM INOX,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,83,01.01.04.02.002,8994 -  08994-MO SINALEIRO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,84,01.01.03.02.001,6551 -  06551-JOGO DE FERRAMENTAS,45695,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,85,01.01.03.01.001,8992 -  08992-MANUTENÇÃO DE EQUIPAMENTOS,45754,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,87,01.01.04.02.004,4858 -  04858-MO OPERADOR ELEVADOR DEFINITIVO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,88,01.01.04.02.008,4855 -  04855-MO OFICIAL,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,89,01.03.05.02.001,5162 -  05162-MO LANÇAMENTO DE CONCRETO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,90,01.03.05.02.005,5162 -  05162-MO LANÇAMENTO DE CONCRETO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,91,01.04.01.05.006,5162 -  05162-MO LANÇAMENTO DE CONCRETO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,92,01.06.03.03.001,5350 -  05350-EXECUÇÃO DAS PRUMADAS / RAMAIS DE INSTALACOES DE INCENDIO,45754,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,93,01.07.03.02.004,8513 -  08513-MO ASSENTAMENTO DE PISO CERAMICO TAMANHOS ATÉ 90CM,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,94,01.07.03.03.003,5174 -  05174-MO ASSENTAMENTO DE PASTILHA EM FACHADA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,97,01.07.03.03.007,8545 -  08545-MO FIXAÇÃO DISPOSITIVO DE SEGURANÇA PARA GRANDES PEÇAS EM FACHADA,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,98,01.08.01.02.001,5352 -  05352-EXECUÇÃO DE DRENAGEM DO TERRENO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,99,01.07.05.05.008,5543 -  05543-MO REGULARIZAÇÃO DE SUPERFICIE PARA IMPERMEABILIZAÇÃO,45747,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,101,01.04.01.04.001,"5147 -  05147-MO EXECUÇÃO DE ARMADURAS (CORTE, DOBRA E MONTAGEM)",45764,Baixada
,1429,,,,,,,
